"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Bitis_nasicornis","Bitis_nasicornis",13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0244834020850651,-0.0557197411837702,-0.136430020574938,-0.260094536222741,-0.36769032670901,-0.375021230737045,-0.245102558593167,-0.0371613463299711,0.127412375926961,0.16287377265831,0.0916528293449031,0.0162965872921539,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boa_constrictor","Boa_constrictor",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0969100130080565,0.314393957221963,-0.0561159419789314,0.277964691595288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boiga_irregularis","Boiga_irregularis",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107278435542772,0.107278435542528,0.107278435542133,0.107278435541748,0.10727843554148,0.107278435541325,0.107278435541173,0.107278435540941,0.107278435540668,0.107278435540485,NA,NA,NA,NA,NA,NA,NA
"Borikenophis_portoricensis","Borikenophis_portoricensis",7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0779813982695146,0.0779813982695146,-0.0377034444947388,-0.0377034444947384,0.0859900335998991,-0.00893808778778293,-0.0150347719004729,-0.0280872795656948,-0.0280872795656948,NA,NA,NA,NA,NA,NA
"Bothrops_insularis","Bothrops_insularis",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00526443337181304,0.00526443337181259,-0.0695584497493535,-0.069558449749354,-0.0695584497493535,-0.0695584497493535,0.0889410833367812,0.151267675330649,NA,NA,NA,NA,NA,NA
"Brachylophus_vitiensis","Brachylophus_vitiensis",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.406456678321428,-0.406456678321428,0.0768163071260913,0.0768163071260912,0.0768163071260914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callisaurus_draconoides","Callisaurus_draconoides",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00683942453030548,-0.00683942453030548,0.294081135708653,-0.0365168338257625,-0.57978359661681,NA,NA,NA,NA,NA,NA,NA,NA
"Casarea_dussumieri","Casarea_dussumieri",9,1,NA,NA,NA,NA,NA,-0.0295124898228225,-0.0295124898228225,-0.0295124898228224,0.130408586269623,0.130408586269623,0.130408586269622,0.130408586269623,0.0197528083560054,0.0197528083560054,0.0197528083560054,0.0197528083560055,0.0197528083560054,0.0197528083560054,0.0197528083560054,-0.00309013999587213,-0.00309013999587206,-0.00309013999587211,-0.00309013999587215,-0.00309013999587202,-0.00309013999587211,-0.00309013999587214,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,-0.0177845383807291,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,-0.0177845383807291,-0.0177845383807289,-0.0177845383807291,NA,NA,NA,NA,NA,NA,NA,NA
"Chlamydosaurus_kingii","Chlamydosaurus_kingii",18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0643250617755452,0.064325061775545,-0.111019392195682,-0.111019392195682,-0.0474685027201369,-0.307759393900094,-0.155546473309924,-0.0549313671377298,-0.062899281472431,-0.138302698166282,NA,NA,NA
"Clemmys_guttata","Clemmys_guttata",18,1,0.0527104400140126,0.0527104400140121,-0.02100294657538,0.0652667315125912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104507916266128,0.094135820108294,0.0689714098929766,0.0165521736772365,0.0188341946414643,0.00146078039434183,-0.00187510637021449,0.00767252226235726,0.0224111046448581,0.0324478082496786,NA,NA,NA,NA,NA,NA,NA
"Clemmys_insculpta","Clemmys_insculpta",35,1,NA,NA,NA,NA,0.00368157593208718,0.00328209137463009,0.00413307740865387,0.0101468190930818,0.0229422898074989,0.0343326863141842,0.02842936855879,-0.00226078626017934,-0.0434214091830221,-0.0682284480834077,-0.0640766904478576,-0.0474819602839298,-0.0486343142762313,-0.0818598406449595,-0.133800944567092,-0.178797985148463,-0.201265342546353,NA,NA,NA,NA,NA,NA,NA,NA,0.0175204239793953,0.0173977709055602,0.0166330347014068,0.0150176550219658,0.0132507568988025,0.0122549905852112,0.0119611656760243,0.0113027509990555,0.00969041312854424,0.00811805579512992,0.00822527370730342,0.010187877805294,0.0120624948273931,0.0117135480268442,0.00927040376578514,0.00707697627421222,NA
"Coluber_constrictor","Coluber_constrictor",14,1,NA,NA,NA,NA,NA,NA,NA,NA,0.176091259055681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.389075625191822,-0.389075625191822,NA,NA,NA,0,0,0,0,0,1,NA,NA,-0.198148074289526,0.0727381062865824,NA,NA,NA,NA,NA,NA
