population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1160,1,-1,-1,-1,0.00895845993601485,0.0161465296100398,0.0209195945131673,0.0146688134840063,0.000651041932772323,-0.0115159908143276,-0.0185964700601273,-0.024940800802228,-0.0319638903526966,-0.0328489483811842,-0.0210281019572607,0.00168901895324014,0.0303910687580893,0.0464739027103427,0.037235627203704,0.00410344613416935,-0.0417794890918377,-0.0856991356278183,-0.114138711623044,-0.120283351276273,-0.108294004619948,-0.0903933916757453,-0.0774110578944827,-0.0721656510837354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1161,1,-1,-1,-1,-1,-1,0.0519274621011512,0.0519274621011516,0.0519274621011512,0.0519274621011512,0.0519274621011512,-0.109031027998298,-0.109031027998298,-0.109031027998298,-0.109031027998298,-0.109031027998298,0.0974326386027604,0.0974326386027609,0.0974326386027604,0.0974326386027609,0.0974326386027604,-0.121913918621341,-0.121913918621342,-0.121913918621341,-0.121913918621342,-0.121913918621341,-0.0447002056146557,-0.0447002056146553,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1159,1,-1,-1,-1,-1,-1,0,0,0,0,0,-0.0383307928519212,-0.0383307928519208,-0.0383307928519212,-0.0383307928519208,-0.0383307928519212,0.0611194633132883,0.0611194633132883,0.0611194633132883,0.0611194633132888,0.0611194633132883,-0.0883690988742241,-0.0883690988742236,-0.0883690988742241,-0.0883690988742236,-0.0883690988742241,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1158,1,-1,-1,-1,-1,-1,-0.0613334159648304,-0.0607358005823579,-0.0447895703737129,-0.0107399250693185,0.0181662120637029,0.0151114487221191,-0.0180284741579322,-0.0483293395490771,-0.0409570323077708,0.0118931239888869,0.0850085372965768,0.135011366331993,0.125909158417065,0.0548887067096087,-0.0397553619620483,-0.103439145512236,-0.10811219485735,-0.0731474580869684,-0.0429319978385414,-0.0452316469219425,-0.07163581752422,-0.0940302413927343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1166,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.176091259055681,-0.1249387366083,0.221848749616356,-0.0969100130080565,0,0.0880456295278406,0.0880456295278407,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1165,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0336300653489501,0.033630065349054,0.0336300653493724,0.0336300653498933,0.033630065350398,0.0336300653505903,0.033630065350343,0.0336300653498416,0.0336300653494654,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1164,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0225380341458234,0.022538034145648,0.0225380341459243,0.0225380341474275,0.0225380341502275,0.022538034153317,0.0225380341552452,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6386,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0752509524191924,-0.0910804693473326,0.00717858462712351,-0.0863598306747484,-0.193820026016113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6383,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.163646439601423,-0.128318477259681,0.0198948287169394,-0.00653086715895768,-0.0713559085356683,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5512,1,-1,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260812,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260812,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260812,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260812,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260812,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22989,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.25054017172283,-0.25054017172283,-0.25054017172283,-0.25054017172283,-0.250540171722831,-0.25054017172283,-0.25054017172283,-0.250540171722831,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22988,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.25054017172283,-0.25054017172283,-0.25054017172283,-0.25054017172283,-0.25054017172283,-0.25054017172283,-0.25054017172283,-0.25054017172283,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5510,1,-1,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260801,-0.00487093452260801,-0.00487093452260789,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260801,-0.00487093452260789,-0.00487093452260789,-0.00487093452260789,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
