Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Rentapia_hosii,1,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,0.0148392688189976,0.0148392688189976,0.0148392688189977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ingerophrynus_divergens,1,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559862,-0.0142402952559861,-0.0142402952559861,-0.0142402952559861,-0.0142402952559862,-0.0142402952559861,-0.0142402952559861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phrynoidis_aspera,1,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725822,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725823,-0.0304682605725822,-0.0304682605725823,-0.0304682605725822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meristogenys_phaeomerus,1,-0.0398901307792032,-0.0398901307792031,-0.0398901307792032,-0.0398901307792032,-0.0398901307792032,-0.0398901307792031,-0.0398901307792033,-0.0398901307792032,-0.0398901307792033,-0.0398901307792032,-0.0398901307792032,-0.0398901307792032,-0.0398901307792032,-0.0398901307792033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podocnemis_expansa,1,-0.0292652181124442,-0.0292652181124438,-0.0292652181124446,-0.0292652181124438,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,-0.0292652181124442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.265627674194944,0.446059941043167,-0.0339319952834434,-0.0339319952834434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudemydura_umbrina,1,-0.0312496520515949,-0.0385787303297984,-0.032106972551445,-0.0304821683135697,-0.0383031197005136,-0.0373593895167126,-0.0253019099688907,-0.0255123910830317,-0.0419251678535952,-0.0420481663446138,-0.0102038753181242,0.0176213143251889,0.00477326719404384,-0.0300279357763296,-0.0438199238248168,-0.00534300992190269,0.0106262077080549,0.0201746432182532,0.0233027552524296,0.00744049589569203,-0.0199685095249517,-0.00602771166481697,0.0745502730139459,0.144658502224806,0.109493937913678,0.00944794527157056,-0.0159569192111701,0.0616920066520843,0.10151209217944,0.00716629986437408,-0.115631903266488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caretta_caretta,1,0.0374402732184471,0.0364746777923803,0.0216992827953346,0.00606540592218674,0.0041322526837683,0.00222216416898968,0.000377116299216477,-0.016941765151348,-0.0179782799298441,-0.0226851665730543,-0.022935644539063,-0.0187126169014517,-0.0149117983089524,-0.0175275607597345,0.00171512949832798,-0.00451985082003767,0.0502467479305185,-0.0523700970803211,0.0114937228678688,0.00980372758346858,0.00712558640258187,0.00578158888985532,0.00622444382855488,0.00251981328955227,0.00296680206387206,-0.00735003052803284,-0.00524905033238384,0.0271049205365982,0.0183359818255709,0.0205596808833404,0.00139588639958643,-0.031033459519034,0.00692384395608447,-0.0768013515104595,0.0508649474837338,0.0731149041490848,0.155014727711845,-0.00697620777597722,0.0430094767005589,0.00542200703252566,0.0250099035385263,0.0309215522209112,0.0494801188085753,0.00670351884600517,0.032184657679683,0.0321285023681461,NA,NA
Salamandra_salamandra,1,-0.0220189654614473,-0.0318294077857808,-0.0528045076956546,-0.0474107497975407,-0.0168179176989466,0.00740135597358049,0.00745642447848571,-0.00623978253184987,-0.0200558984249543,-0.0356426804453836,-0.0582739811008293,-0.082054036596817,-0.0887842423990037,-0.0967303705273868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0121435042061177,-0.026604003149407,-0.0770437395528468,-0.101415320913745,-0.087486828384398,-0.0486511338784003,0.00382875802306348,0.0685707017510009,0.130193725434003,0.14486872828759,0.00756882601237363,-0.279782156358676,-0.554151960276913,-0.638190289596064,-0.479587496097434,-0.204890122167173,-0.0132133413210408,NA,NA,NA,NA
Lepidochelys_kempii,1,-0.0923520929165429,-0.0839756925888557,-0.0729982586403439,-0.0626125305045377,-0.0533933138135927,-0.0443960679096049,-0.0357595734865437,-0.0289638354335926,-0.0247706769996352,-0.022194142409977,-0.019853005745857,-0.0173950290223974,-0.015003979468946,-0.0122065835479264,-0.00806750292176872,-0.0025084247194247,0.00157805747742201,0.429240352154136,0.419335655364197,0.20525499054593,-0.030132563510578,0.155644091960111,0.104585757353888,0.170102293670066,0.0511345315089807,0.148898055876124,0.115009646451344,0.0226558920905081,0.0705442550475906,0.0747240656266088,0.0768155906705639,0.0751485094682658,-0.0646634260212272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lepidochelys_olivacea,1,-0.05904747476697,-0.0551824895154038,-0.0434366180620633,-0.027020161541734,-0.0230579477256125,-0.0293682363220517,-0.0396393826250817,0.0975501016724802,-0.142324040983496,-0.169337640589893,0.0279890129920511,-0.0110670096870971,-0.063597372812513,0.0930239901867582,0.0238598201661921,-0.00601675272376377,0.0275636180741343,-0.0262376701023077,0.0123134142282318,0.0400188254269255,-0.00331231754601143,0.0202867564911957,-0.00594223425898536,-0.00446820783632766,-0.0044585015708657,-0.0342188284150288,-0.0391399494440481,-0.00636058725904417,0.0851321128940332,0.123528770398124,0.0477279856919155,-0.0552705109245437,-0.0581650301631684,0.0379367270283486,-0.000145609146183365,0.055729777305634,0.0566039700455183,-0.271705821114404,0.139996964176886,0.0174497154291197,0.0998945808638684,0.0864685849415699,NA,NA,NA,NA,NA,NA
Clemmys_guttata,1,0.0527104400140126,0.0527104400140121,-0.02100294657538,0.0652667315125912,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00362274627433001,-0.00362274627433001,-0.00362274627433012,-0.00362274627433001,-0.00362274627433001,-0.0036227462743299,-0.00362274627433001,-0.00362274627433012,-0.00362274627433001,-0.00362274627433001,-0.0036227462743299,-0.00362274627433001,-0.00362274627433012,-0.0036227462743299,-0.00362274627433012,-0.0036227462743299,0.0324208079058228,0.028963442519878,0.0689714098929766,0.0165521736772365,0.0188341946414643,0.00146078039434183,-0.00187510637021449,0.00767252226235726,0.0224111046448581,0.0324478082496786,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atelopus_ignescens,1,-0.0607370113267467,-0.0607370113267467,-0.0607370113267468,-0.0607370113267467,-0.0607370113267467,-0.0607370113267468,-0.0607370113267469,-0.0607370113267467,-0.0607370113267467,-0.0607370113267467,-0.0607370113267467,-0.083113804973443,-0.0831138049734429,-0.0831138049734429,-0.0831138049734428,-0.083113804973443,-0.0831138049734428,-0.0831138049734429,-0.0831138049734429,-0.083113804973443,-0.0831138049734429,-0.083113804973443,-0.0831138049734428,-0.0831138049734429,-0.0831138049734429,-0.0831138049734428,-0.083113804973443,-0.0831138049734432,-0.0831138049734428,-0.0831138049734428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
