"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Alburnoides_prespensis","Alburnoides_prespensis",21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0151559152544042,0.00660599558256209,-0.00165654373179164,-0.0074223776813121,-0.0106915062659939,-0.01146392948584,-0.00992140589006157,-0.00754657779846246,-0.00788989052465555,-0.0127147605531779,-0.0203420414737063,-0.0283282614872689,-0.0369846188275434,-0.0503633664788204,-0.0718286434867229,-0.100407995337598,-0.132289040815944,-0.15393590655282,-0.159840694876068,-0.141213377460659,-0.0960917802003155,-0.0317121580691118,0.0397258420117276,0.105793727248009,0.157121803099374,0.189101257444626,0.202710146637754,NA,NA,NA,NA,NA,NA
"Alburnus_alburnus","Alburnus_alburnus",49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0364271137959947,-0.0364271137959946,-0.00794498707841571,-0.00794498707841581,-0.00794498707841571,0.0699969258631692,-0.228605041154571,0.0699969258631692,0.0699969258631692,-0.00755749315467581,0.028046095764914,0.028046095764914,-0.0139047343333412,1,0.0446778694504974,-0.152572190209669,0.254045647627342,-0.042403118208294,0.0709709679726078,NA,NA,NA
"Alburnus_arborella","Alburnus_arborella",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.143723001963846,-0.143723001963846,-0.143723001963846,-0.143723001963846,-0.143723001963846,-0.143723001963846,0.0362300545127339,0.0362300545127341,0.0362300545127339,0.0362300545127339,0.0362300545127341,0.0362300545127339,-0.0348190466025149,-0.0348190466025151,-0.0348190466025149,-0.0348190466025151,-0.0348190466025149,-0.0348190466025149,NA,NA,NA,NA,NA,NA,NA,NA
"Alburnus_belvica","Alburnus_belvica",31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0455612926784411,0.0452513712077237,0.044792403836139,0.0442246094561506,0.0435479880677567,0.0427625396709603,0.0418399800137792,0.0406432503230549,0.0390559680976907,0.0371211627317865,0.0350264680801649,0.032943125637209,0.0363710236698335,0.0986009141329148,0.0310153720215786,0.0294879796203354,0.0277766233866307,0.0260228724014593,0.0242801589328598,0.0226306962431989,0.0211463856033062,0.0199123357250924,0.0190392280778451,0.0703825851709894,-0.166409611718513,0.373600543374079,0.00163872337340099,NA,NA,NA,NA,NA,NA
"Alburnus_chalcoides","Alburnus_chalcoides",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.048304679574555,-0.350155131052897,-0.191308006895959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alosa_alosa","Alosa_alosa",48,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0670747974792807,0.0645500366887362,-0.0778447377458213,0.010716005909946,0.14330596662344,0.232318275166528,0.217765175636863,0.113649600200911,-0.00744552598194703,-0.0734799480886608,-0.0664196023129429,-0.0273226627373906,-0.0125717445628095,-0.0432333151908928,-0.0932123212479472,-0.122770911783451,-0.120112161431994,-0.108002057315694,-0.135593543516129,-0.136258555690908,-0.130658707500719,-0.122726808173377,-0.116544381014883,-0.11247687580878,-0.107636000671493,-0.099691307683675,-0.0894758496165897,-0.0800081316638668,-0.0737703899857252,-0.0711524452583538
"Alosa_fallax","Alosa_fallax",6,1,NA,NA,NA,NA,-0.00117974751913996,-0.00117974751913952,-0.00117974751913996,-0.00117974751913952,-0.00117974751913996,-0.00117974751913952,-0.00117974751913996,-0.00117974751913952,-0.00117974751913996,-0.00117974751913952,-0.00117974751913996,-0.00117974751913952,-0.00117974751913952,-0.00117974751913996,-0.00117974751913952,-0.00117974751913996,-0.00117974751913952,-0.188226392130254,-0.188226392130254,-0.188226392130254,-0.188226392130254,-0.188226392130254,-0.188226392130254,0.228511310378622,0.228511310378623,0.228511310378623,0.228511310378623,0.228511310378623,0.228511310378623,-0.228511310378623,-0.228511310378623,-0.228511310378623,-0.228511310378623,-0.228511310378623,-0.228511310378622,NA,NA,NA,NA,NA,NA,NA,NA
"Ameiurus_melas","Ameiurus_melas",16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139009485135011,-0.139009485135012,0.0611145598234601,0.0350794323747125,-0.0220958052338253,-0.0954742925355379,-0.119826105608119,-0.121453970838447,-0.0651244707129525,0.015864022471801,0.0710305913438883,-0.0264004002901135,0.00765963590675856,0.00765963590675844,0.00765963590675844,0.00765963590675844,0.00765963590675856,0.00765963590675856,-0.00377626504256079,-0.00377626504256079,-0.00377626504256057,-0.00377626504256079,-0.00377626504256079,NA,NA,NA
"Anguilla_anguilla","Anguilla_anguilla",179,1,-0.187086643357145,-0.113943352306837,-0.154901959985743,0.0579919469776867,0.0508419352989901,0.0722336545517035,-0.0133589654818338,-0.0346415293573576,-0.0266255027398525,-0.0277183620065306,-0.098435930533994,-0.0576142669209556,-0.0443125223667828,-0.00731551720978432,0.0170394411176052,-0.0619860755139428,0.0748054414320451,0.0468960911856252,-0.0126783578921677,0.0121517609718361,-0.0565598245223942,-0.0493799546066765,-0.0329642061440805,-0.0289756006869481,-0.0406614297465776,-0.0573250260285537,-0.0629475693315299,-0.0875712756831174,-0.0903966831170368,-0.0313005892848136,0.0496914408502794,0.08692716377695,0.0659317670397286,-0.0756972489235694,0.0166991086068325,-0.0252373785057667,0.0718232723457631,-0.114954257590257,-0.125944611918327,-0.218315006633268,-0.067737971840617,0.152983961379217,0.246554793409683,0.170304658523791,0.0643384224749894,0.0495187702489028,0.0890026932550008
"Anguilla_japonica","Anguilla_japonica",20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.220214880303942,-0.177146345966817,-0.0786907133744523,0.0604320830134111,0.184999258413947,0.229283414229867,0.167264599757161,0.0352977473310476,-0.0924467196133416,-0.151872189904548,-0.126875482502365,-0.0590681529845283,-0.0207213698306461,-0.0557760595781407,-0.128814174624549,-0.141854800026263,-0.0275648734153097,0.166205656549587,0.307697461421068,NA,NA,NA,NA
