population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
6214,1,0.100914113230537,0.100491109727214,0.0988032652083772,0.0954249366977002,0.0907351546529798,0.0849197639398045,0.0774434128012942,0.0682235176279322,0.0587666225374641,0.0510676919210646,0.0452893245570283,0.0392879587189596,0.0306552686351687,0.0186417021579151,0.00393561586525282,-0.0125492532176015,-0.0299414021706195,-0.0470494609450252,-0.0628059452297887,-0.0771811808193461,-0.0909180331239274,-0.104090017285531,-0.115463050972968,-0.123621195979049,-0.128335580990857,-0.130522137100075,-0.131272802471223,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6212,1,0.260128549762328,0.255404619623395,0.243330968623221,0.224108996828222,0.201565397203287,0.178834053060157,0.155358526256645,0.129987477431858,0.10575026257334,0.0886313079366916,0.0810681587358424,0.0787643504493918,0.0750410120007707,0.0668923937964436,0.055600957415936,0.04296815037908,0.029274683114874,0.0147721976707516,0.000948088265870339,-0.0107616798964472,-0.0204434940367166,-0.0289204728014756,-0.0361223618101674,-0.0411395404224777,-0.0436076888325987,-0.044278848876206,-0.044277234459507,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2030,1,0.119291828745149,0.118732187693588,0.116856332046269,0.113206071710784,0.108084649635723,0.101921912791546,0.0947051890460009,0.0865671194583091,0.0786378064242372,0.0724779321175264,0.0683792334472733,0.0647554577480269,0.059668409101687,0.0527051356253847,0.0449940339487487,0.0377356563911317,0.0314425880088192,0.0265867145484071,0.0239764594139111,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11248,1,-1,-1,0.145904983274506,0.144845640151849,0.142389709638768,0.138163565321173,0.131782115579886,0.123282325474277,0.113596104109115,0.104198004774542,0.095942178364278,0.0882030247472967,0.0795620333132216,0.0696289300608282,0.0582750572031188,0.0461375632520422,0.0341251284587294,0.0227256821059125,0.0119964689409411,0.00199254818060535,-0.00704141277720005,-0.0148975285393389,-0.0216022161417913,-0.0274070884333586,-0.0322259213975515,-0.0355494749244381,-0.0370855308232469,-0.0373743827532858,-0.0374070360218237,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15314,1,-1,-1,-1,-0.0181455244432669,-0.018164501579955,-0.0181822552106716,-0.018182688592163,-0.0181317051764698,-0.0179031056106975,-0.0172717164251852,-0.0160293180907103,-0.014094657624254,-0.011478629170651,-0.00818114864996877,-0.00422102562922433,0.000184835248004056,0.00453048740198958,0.00820227258582795,0.0107959260782284,0.0122626886623916,0.0127757391740992,0.0125122482057407,0.0115898671034542,0.0101713649157322,0.00855270019656107,0.00708208974725788,0.00594898663714805,0.00503433786760854,0.00399337923460874,0.00254972283101318,0.000760619037984078,-0.0010084374624999,-0.00240442359847926,-0.0034002233541166,-0.00428629047168227,-0.00535247203681122,-0.00658368635693685,-0.00765835234189405,-0.00823989649501056,-1,-1,-1,-1,-1,-1,-1,-1,-1
6213,1,-1,-1,-1,0.0933584228754158,0.094256667244411,0.0967078993373729,0.100771281638718,0.105394564982286,0.109152632775495,0.111226574785186,0.111296557920245,0.108607824532657,0.101778979998487,0.0899654461637911,0.074059427373077,0.056418401279779,0.0394027053873951,0.0242878102733579,0.0113306974479412,0.000320112296180675,-0.00914641353097956,-0.0174685301477533,-0.0245813271004343,-0.0297347620101189,-0.0322024415948508,-0.0323801777161394,-0.0318097744957657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8946,1,-1,-1,-1,-1,-1,-1,-1,-1,0.0334380622800028,0.0341287316360468,0.035581443789777,0.0378140421016031,0.0405832195963223,0.0426205927014651,0.0425022317552166,0.0399329810859177,0.0347814440788259,0.0265728294500347,0.0156210507759758,0.0033116053415867,-0.00864864077643102,-0.0195960160081565,-0.0281925665973022,-0.0335726727062866,-0.0358728383580722,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2031,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0301586446503814,0.0301586446503617,0.0301586446503066,0.0301586446502202,0.0301586446501507,0.03015864465017,0.0301586446503312,0.0301586446506401,0.0301586446510518,0.0301586446514837,0.0301586446518367,0.0301586446520428,0.0301586446521096,0.0301586446521087,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10401,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0295271170136093,0.029307819296315,0.0290425255706956,0.0289895143550447,0.0293176411387237,0.0301176955581266,0.0314797314370738,0.0334150230923984,0.0357238873642181,0.0380811676259405,0.0403164336972059,0.0425397781416568,0.0449332288430968,0.0474775718324703,0.0499560054319812,0.0521667832526502,0.0540059296913904,0.0553483625516242,0.0560323699075771,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11259,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00282293380762022,0.0049465738936183,0.00893554348498071,0.0144690065354796,0.0217020039411375,0.0303220866276066,0.0386322402155623,0.0447458875871336,0.0487585591650019,0.0528119295407206,0.0585302180063112,0.0650030708135194,0.0699515400768713,0.0724985021874749,0.0736275453250859,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
