"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"Larus_glaucoides","Larus_glaucoides",55,1,0.0839530023690932,0.126270285685948,0.155025655330042,0.123901549921606,0.0571969966005466,0.0115312304910728,0.00706912744328247,0.0241431841233893,0.04175680602017,0.0491762936163693,0.0345577802633339,0.00449586127751422,-0.0197674905302698,-0.0172953626004356,0.00222321301739711,0.0126832230923174,0.0154055050192843,0.0190136721690401,0.0193142093001938,0.00470145352938081,-0.017348790384832,-0.0244241141217545,-0.0128415153656588,-0.00394940549813689,-0.117402923584836,-0.0173869275783162,-0.00771455517260236,0.0108392576931391,0.0205709251098958,0.0183192134575987,0.0128321416513501,0.00806264903396118,0.00252121414838351,-0.0025713555103,-0.00600292503037747,-0.0523056753801114,-0.0744481584820511,-0.0531243395522618,0.0168844519655906,0.0627983138825263,0.0307578156972148,-0.0259641225265745,NA,NA,NA,NA
"Larus_hyperboreus","Larus_hyperboreus",33,1,0.0103645633444169,0.0103645633444171,0.0103645633444172,0.0103645633444169,0.0103645633444172,0.00976932480863539,0.00976932480863525,0.0097693248086355,0.00976932480863536,0.00976932480863534,0.0115434042450416,0.0115434042450416,0.0115434042450416,0.0115434042450416,0.0115434042450417,0.0111172049107643,0.0111172049107644,0.0111172049107645,0.0111172049107643,0.0111172049107645,0.0111172049107643,0.0111172049107644,0.0073207329466776,0.00732073294667765,-0.0159723075276716,0.0070422545352466,0.00704225453524647,0.0541384882339213,0.0195927590876261,-0.0226379089376529,-0.036275826626506,-0.00935844321992612,0.0342276538180213,0.0587065940750446,0.0565521940931356,0.0883718836895659,0.0239282942342598,0.00562030906454769,0,0.301029995663981,-0.1249387366083,0,NA,NA,NA,NA
"Larus_marinus","Larus_marinus",3,1,0.0319844449850235,0.0319844449850235,0.0319844449850233,0.0319844449850235,0.0319844449850235,0.0319844449850235,0.0319844449850233,0.0319844449850235,0.0319844449850235,0.0319844449850235,-0.0159176003468815,-0.0159176003468815,-0.0159176003468815,-0.0159176003468817,-0.0159176003468815,-0.0159176003468813,-0.0159176003468815,-0.0159176003468815,-0.0159176003468815,-0.0159176003468817,-0.0159176003468815,-0.0159176003468815,-0.0159176003468813,-0.0159176003468817,-0.0159176003468813,-0.0159176003468817,-0.0159176003468815,-0.0159176003468815,-0.0159176003468815,-0.0159176003468813,-0.0159176003468817,-0.0159176003468815,-0.0159176003468815,-0.0159176003468815,-0.0159176003468815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larus_smithsonianus","Larus_smithsonianus",104,1,-0.00115442312355829,-0.00113566534104825,-0.00109041284440825,-0.00289163707828558,-0.00290475616227742,-0.00295693082879282,-0.00300882547417286,-0.0030490758087825,-0.0030934097690062,-0.00314381314980622,-0.00317481470816168,-0.0940426921034802,0.0127190004757214,-0.00773959157599639,-0.00226517261102538,-0.0686955083956348,0.0203960096274833,-0.0228934395488473,0.0788065621658634,-0.0548454070263152,0.0422533109523247,-0.0861394517161011,0.0241876294921697,-0.000785145225065453,-0.00153370883124584,-0.00200960139930426,-0.00215084263124976,-0.0020977689201285,-0.00204176843708326,-0.00205498397023168,-0.00208290062007507,-0.00206756728699067,-0.00201800561221779,-0.00195515004622504,-0.00631876932742752,-0.00620291179869917,-0.00606994729369586,-0.00135037901727669,-0.00133565437186649,-0.00137910580443579,-0.00140222826107017,-0.00138676074440065,-0.00136432802384946,-0.00135567281654635,NA,NA
"Morus_bassanus","Morus_bassanus",5,1,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.0205180431988996,0.00721043641065977,0.00721043641065933,0.00721043641065933,0.00721043641065933,0.00721043641065977,0.0286276694681988,0.0286276694681993,0.0286276694681993,0.0286276694681993,0.0286276694681988,0.00983351990655734,0.00983351990655734,0.0098335199065569,0.00983351990655734,0.0098335199065569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pagophila_eburnea","Pagophila_eburnea",20,1,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.00213882043290026,-0.0277822120469078,-0.00130081027532714,0.033114960563811,-0.0171393985340296,-0.0171393985340296,-0.0171393985340293,-0.0171393985340293,-0.0171393985340296,-0.0171393985340296,0.0953752432733581,-0.00748085445638003,-0.00748085445638003,-0.0074808544563798,-0.00748085445638003,-0.00748085445638003,-0.0074808544563798,-0.00748085445638003,-0.00748085445638003,-0.0074808544563798,-0.0074808544563798,0.315894726766783,-0.0128228884798594,-0.0129582534057506,-0.0129582534057511,-0.0129582534057504,-0.0129582534057511,-0.0129582534057506,-0.0129582534057504,-0.301200638009784,-0.118165465597615,-0.0259107897649762,0.0519515676958853,-0.0130936183316415,-0.0130936183316415,0,0.150514997831991,0.150514997831991,NA,NA,NA,NA,NA
"Phalaropus_fulicarius","Phalaropus_fulicarius",71,1,-0.0212121715863807,-0.0212121715863804,-0.0212121715863804,-0.0212121715863804,-0.0212121715863804,-0.0212121715863804,-0.0212121715863802,-0.0212121715863807,-0.0212121715863804,-0.290939738878059,-0.0430381236257277,-0.0437179653594645,-0.0763014074832161,-0.0763014074832161,-0.0478959347953332,-0.0478959347953333,-0.0763014074832162,0.0672064094487137,-0.0124832812073895,0.0335317659743496,-0.043118998200931,0.0302551473236193,0.0302551473236194,0.272691360492714,0.0744868405523154,-0.0381345350287087,-0.0303660915844047,-0.0204524915714609,-0.0204524915714853,-0.0177698038174971,-0.0177698038174142,-0.0177698038172499,-0.0103748454964947,-0.01296855687038,0.290867294548132,0.0408672945481796,0.160147608228087,0.00602753464859956,-0.301029995663981,-0.176091259055681,0.698970004336019,1,NA,NA,NA,NA
"Phalaropus_lobatus","Phalaropus_lobatus",50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,-0.296751197684706,0.471406771195233,-0.174655573510527,NA,NA,1,-0.5230831608906,-0.0230831608908011,0.0434057817369083,0.0367947919028414,0.0242340252848184,0.00881772826422278,-0.0057305446566313,-0.0170739374870913,-0.0248671284744624,-0.0300369808458711,-0.0335314465650592,-0.0474274686177535,-0.0479527245646786,-0.0320378513091148,NA,NA,NA,NA,NA,NA,NA,NA
"Pluvialis_squatarola","Pluvialis_squatarola",18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176091259055681,-0.239059572105788,0.0130765180404084,0.0130765180404344,0.0130765180405061,0.0130765180406555,0.0130765180409078,0.0130765180412691,0.0130765180417173,0.0130765180422044,0.0130765180426661,-0.0451145975646784,-0.0192168898425634,-0.0192168898422793,-0.0192168898421373,NA,NA,NA,NA,NA,NA,NA,NA
"Polysticta_stelleri","Polysticta_stelleri",79,1,0.101865071298542,0.0398880868063208,0.0371329995854316,0.0338465429604188,0.030262287428496,0.0260709849263367,0.0210991688795372,0.0157818231763287,0.0108832429468664,0.0068994875738122,0.00383162735365561,-0.0085433894310743,-0.00662592107065074,-0.00183138124139565,0.00437031231752832,0.00870420015370304,0.0132841954292215,0.0177812909902805,0.0210805157153119,0.0221408539131594,0.0206222400680978,0.0164153317096596,-0.0309641646752966,0.111428333216179,-0.147728032623356,-0.00911722563657484,-0.0128605575205566,-0.0375269956039514,-0.0299490241776112,-0.0301362402323959,-0.0251739431453417,-0.0260000092057848,-0.0265794695497445,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
