Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Megaptera_novaeangliae,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.053898762603152,0.0388392984289414,0.0331399020169536,0.0345609226351109,0.0325429318448757,0.0511636352216049,0.0488212350700856,0.0457088217720896,0.0524530162667979,0.0486560068797142,0.0450693244962739,0.0424152660504477,0.0410607876446308,0.00410299891982109,-0.0110285299352912,-0.00992496292208293,0.0144639954808738,-0.028359765720898,-0.0275585473426265,-0.0270161985186106,-0.0487712180833531,-0.0485531639008316,-0.0484731149454729,-0.0353228390926912,-0.0353228390926912,-0.0353228390926907
Balaenoptera_acutorostrata,1,NA,NA,NA,NA,NA,0.58088628081628,0.58088628081628,0.456699581800189,0.0465983202122855,0.0465983202122854,0.0465983202122855,0.0465983202122855,0.0465983202122854,0.0465983202122855,0.0465983202122855,0.0465983202122855,0.0465983202122855,0,0.325246532011359,NA,-0.000593894448875032,-0.461454507216726,-0.461454507216726,0.315101639029516,0.315101639029516,0.315101639029516,-0.0104341942083472,-0.0104341942083475,-0.019180601153029,-0.0191806011530291,-0.00516217409465713,-0.0902728140576747,-0.16196545913194,-0.054807171875736,-0.0781843601199239,-0.125995835435027,-0.0425620414455063,0.00313339747199951,0.0136029201418367,-0.153282887789261,-0.164613415210751,-0.164613415210752,-0.0871732080045189,-0.0871732080045193
Balaenoptera_physalus,1,NA,NA,NA,NA,NA,0,0,0,0.207514241005881,0.207514241005881,0.207514241005881,0.207514241005881,0.207514241005881,0.207514241005881,0.207514241005881,0.207514241005881,0.207514241005881,0,0.324229155329944,NA,NA,0.151836737481623,0.151836737481622,0.0497492134322242,0.0497492134322237,0.0497492134322242,0.0212982183222747,0.0212982183222745,0.0212982183222745,0.0212982183222745,0.0212982183222747,0.036468672931921,0.0364686729319208,0.036468672931921,0.296841478852624,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zalophus_californianus,1,NA,NA,NA,NA,NA,0.0134186674267864,0.0132941898811714,0.0131877470673878,0.0132466822934969,0.0134711327307508,0.0138254348657272,0.0144635421903363,0.0157092216434878,0.0177445724613818,0.0203588931925793,0.0230582378741619,0.0254079233134172,0.0272414871968332,0.0285972858757937,0.0295797066710914,0.0303333232186427,0.0310493518806689,0.0318464729453769,0.0326124954976024,0.0330734876518388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pusa_hispida,1,NA,NA,NA,NA,NA,NA,0.00114439194613114,0.00114439194613158,0.00114439194613114,0.00126745391886018,0.00126745391885974,0.00126745391886018,0.00126745391885974,0.00126745391886018,0.00126745391886018,0.00126745391885974,0.00126745391886018,0,0,0,0.000250171403354482,0.000250171403354704,0.000250171403354704,0.000250171403354482,0.000250171403354704,0.000250171403354704,0.000250171403354482,0.000250171403354704,-0.000142955087631291,-0.000142955087631291,-0.000142955087631069,-0.000142955087631291,-0.000142955087631069,-0.000142955087631291,-0.000142955087631291,-0.000142955087631069,-0.000142955087631291,-0.000142955087631291,-0.000142955087631069,-0.000142955087631291,-0.000142955087631291,-0.000142955087631069,NA,NA
Phoca_largha,1,NA,NA,NA,NA,NA,NA,-0.00400296915767173,-0.00400296915767173,-0.00400296915767173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Histriophoca_fasciata,1,NA,NA,NA,NA,NA,NA,0.0579960446559724,0.0579960446559722,0.0579960446559722,0.0481378479958585,0.0481378479958581,0.0481378479958581,0.0481378479958581,0.0481378479958581,0.0481378479958585,0.0481378479958581,0.0481378479958581,-0.029977649720534,-0.0299776497205344,-0.029977649720534,-0.0149888248602672,-0.014988824860267,-0.0149888248602672,-0.014988824860267,-0.0149888248602672,-0.014988824860267,-0.014988824860267,-0.0149888248602672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
Balaena_mysticetus,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0289944499264279,0.0289944499264276,0.0289944499264279,-0.0462511458293416,0.0281463736626682,0.028146373662668,0.0281463736626682,0.028146373662668,0.0281463736626682,0.028146373662668,0.00786008667460886,0.00786008667460858,0.0078600866746088,0.00786008667460864,0.0078600866746088,8.69023548035752e-05,8.69023548035752e-05,8.69023548034642e-05,8.69023548035752e-05,8.69023548034642e-05,-0.00219907686029264,-0.00219907686029264,-0.00219907686029264,-0.00219907686029253,-0.00219907686029275,0.0258851479767673,0.0258851479767676,0.0258851479767673,0.0258851479767673,NA,NA,NA,NA,NA,NA,NA
Erignathus_barbatus,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0305160267707234,0.030516026770723,0.0305160267707234,0.0305160267707234,0.0305160267707234,0.030516026770723,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phocoena_phocoena,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24618048833598,-0.00814139968064576,-0.204267329103503,0.0877756640614777,0.0877756640614777,0.183746915878878,0.183746915878877,-0.00714969409444773,-0.00714969409444796,0.0479298967993329,0.0479298967993329,0.028016901596103,0.0280169015961031,0.0280169015961031,NA,NA,0.258260797688202,NA,NA,NA,NA,NA,NA,NA,NA,NA
