"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Craugastor_punctariolus","Craugastor_punctariolus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756529,-0.400864274756529,NA,NA,NA,NA,NA
"Craugastor_ranoides","Craugastor_ranoides",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0305901244518818,NA,NA,NA,NA,NA
"Crocodylus_acutus","Crocodylus_acutus",92,1,NA,NA,NA,NA,NA,NA,NA,NA,-0.125421000690354,-0.0939964479202721,-0.0361253257399289,0.00472375007412106,0.0365648461066512,0.0568635266041749,0.0672427247055621,0.0661271214828872,0.0535869609683235,0.0366582292191832,0.0240475874454991,0.0186298343121441,0.0177218290265913,0.0184354306095047,0.0190127194844606,0.01623873306565,0.00720320233885791,-0.00449541521779345,-0.00924397996922288,0.00375623905713866,0.018361838067301,0.0238461346056293,-0.0486404711102808,0.221926100695881,0.0403919495679085,0.0560610745671185,NA,-0.0883617101600305,-0.0883617101600305,NA,NA,NA,NA,NA,NA
"Crocodylus_intermedius","Crocodylus_intermedius",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0103469352932843,-0.0103469352932842,-0.0103469352932843,-0.0103469352932843,-0.0103469352932843,-0.0103469352932843,-0.0103469352932843,-0.0103469352932843,-0.0103469352932842,-0.0103469352932843,-0.0103469352932843,-0.0103469352932842,-0.0284493711948292,-0.0284493711948292,-0.0284493711948292,NA,NA,NA,NA
"Crocodylus_moreletii","Crocodylus_moreletii",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243593458594447,NA,NA,-0.494850021680094,NA
"Dendrobates_auratus","Dendrobates_auratus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.160896037821198,-0.160896037821199,-0.160896037821198,-0.160896037821199,-0.160896037821198,NA,NA,NA,NA,NA
"Dendropsophus_koechlini","Dendropsophus_koechlini",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.116069029824036,-0.116069029824036,-0.116069029824036,-0.116069029824036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendropsophus_leali","Dendropsophus_leali",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.025732011674264,-0.025732011674264,-0.0257320116742639,-0.025732011674264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendropsophus_parviceps","Dendropsophus_parviceps",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0260221494087949,-0.026022149408795,-0.026022149408795,-0.0260221494087949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edalorhina_perezi","Edalorhina_perezi",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163303128443836,0.163303128443836,0.163303128443836,0.163303128443836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
