Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Himantopus_novaezelandiae,1,NA,NA,NA,0.0340260710494842,0.0251390515512928,0.00589137758686897,-0.0219973765018715,-0.0522296799564905,-0.0741558237023732,-0.076596750605032,-0.0552904549524309,-0.0178453998696548,0.0200314708554772,0.0449583668219273,0.0534994060180176,0.0505697115281365,0.0422112045287362,0.031113208360166,0.0180004172384349,0.00471691823828446,-0.00556102242129297,-0.0106551568344471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arenaria_interpres,1,NA,NA,NA,NA,-0.00917281536324444,-0.00913135673472043,-0.00907871150219908,-0.00907165351080907,-0.00912330431762465,-0.009246962010653,-0.00950318860776811,-0.00993424303076074,-0.0105388022248176,-0.0112833012162641,-0.0121320904023032,-0.0130648284102581,-0.0140610502875345,-0.0150897981590274,-0.016140080152204,-0.017202828380515,-0.0183096546374673,-0.019503456725231,-0.0207853875790138,-0.0221290381686579,-0.0235427892992106,-0.0250813327165555,-0.0267832274591699,-0.0286240702874974,-0.0305442151325577,-0.0324906389538473,-0.0344012533730611,-0.0361693601763544,-0.0376691375467966,-0.0388284670984835,-0.0396609899940297,-0.0402322134377899,-0.0406211249886639,-0.0409098751423771,-0.0411619950600137,-0.0413788837264915,-0.041505610936565,NA,NA,NA,NA
Larus_pacificus,1,NA,NA,NA,NA,-0.0320352289352934,-0.0320497761216965,-0.0344961102743038,-0.0417218793513072,-0.0533053040010047,-0.065928127909078,-0.0752247249425513,-0.0773109811508612,-0.0696292091687192,-0.0522478872424099,-0.0289358560386745,-0.00559404884681913,0.0137976894680008,0.0294794038147652,0.0433371628440891,0.0545462779596608,0.0593683644402576,0.0556715403269137,0.0460774410708202,0.0352600583958056,0.0249430846542058,0.0132915215739771,-0.000805337819189234,-0.0146876302176362,-0.0239865987679422,-0.0262896166375519,-0.0213131837350624,-0.00853104532831139,0.0126853516941079,0.0395953816976147,0.0647061507852045,0.0803712816112094,0.0852320970813905,0.0847679664903178,NA,NA,NA,NA,NA,NA,NA
Tadorna_tadornoides,1,NA,NA,NA,NA,0.0428134404279509,0.0519643871587429,0.0659712283316969,0.0771612331301144,0.0815683250925068,0.0820598774254513,0.084286398447202,0.0908146512658223,0.0996906477069204,0.107618975801206,0.112898982860102,0.115200826440593,0.11408789539982,0.108782076117307,0.0987175304336749,0.0836727641242239,0.0640821383645802,0.0419469034548192,0.0206189902096403,0.00249959489927098,-0.0127416290953519,-0.0267117176421334,-0.0394644627210687,-0.0492289674286179,-0.0545434092500781,-0.0550978935627717,-0.0504560996153089,-0.0398758795684189,-0.0244047595151309,-0.00783023767088542,0.00578584177686192,0.0149511942284843,0.0203776880847659,0.0228890643667019,NA,NA,NA,NA,NA,NA,NA
Larus_novaehollandiae,1,NA,NA,NA,NA,-0.00225180685945148,-0.00232496966446982,-0.00253724843066871,-0.00293537956588397,-0.00349245400987064,-0.00411741769365204,-0.00471866136946586,-0.00526548089046086,-0.00579584551372969,-0.00637529248792745,-0.00705233901475211,-0.00784172008948447,-0.00872992535558836,-0.00968603154805692,-0.0106736660077309,-0.0116640587099219,-0.0126409090124557,-0.0135908798676532,-0.0144918256368793,-0.0153141664513035,-0.0160296957057651,-0.0166106530474961,-0.0170223015652451,-0.0172316362133484,-0.0172348408039853,-0.0170712034465765,-0.0167990046351592,-0.0164583050803531,-0.0160675582122325,-0.0156574573075439,-0.0152918093140069,-0.0150376639471519,-0.0149136571611397,-0.0148783865605693,NA,NA,NA,NA,NA,NA,NA
Microcarbo_melanoleucos,1,NA,NA,NA,NA,-0.0281428978009255,-0.0281596233326789,-0.0281690209257746,-0.0281198023464784,-0.0279551002197636,-0.0276334949603281,-0.0271163182079714,-0.0263394177542171,-0.0252271317540749,-0.0237553615161237,-0.0219929034671127,-0.020071010958898,-0.0181247458264844,-0.0162691299623101,-0.0145950580835885,-0.0131377427335431,-0.0118468147558559,-0.0106343279926673,-0.00948458971671018,-0.00849944845863426,-0.00780529419913023,-0.00741628821145679,-0.00721007604991342,-0.00704470951795466,-0.00689087011863676,-0.00684878113422926,-0.0070453075454453,-0.00751449721695829,-0.0081617338251867,-0.00882639165260568,-0.00937639449981265,-0.00975687031360972,-0.00997476788049312,-0.010064338526746,NA,NA,NA,NA,NA,NA,NA
Pelecanus_conspicillatus,1,NA,NA,NA,NA,-0.0695406276541966,-0.0733442307669829,-0.0786833069463331,-0.083020396978555,-0.086281492344964,-0.0890693422893121,-0.0892584172990505,-0.0825203646116219,-0.0664135694378258,-0.0430087183288734,-0.0176128895395253,0.00415983218813709,0.0184846113721113,0.0244947166350522,0.0245720951261847,0.0227193644180668,0.0214803327822979,0.0203791677652316,0.0175687000829254,0.0123113899887652,0.00516265891119994,-0.00349673092618885,-0.0136339055876982,-0.0241915125071697,-0.032917676799636,-0.0383777907896077,-0.0414558427904606,-0.044079750102342,-0.0468481764151725,-0.0486808327000556,-0.0486457237762292,-0.047344988835843,-0.0462581618902158,NA,NA,NA,NA,NA,NA,NA,NA
Fulica_alai,1,NA,NA,NA,NA,NA,NA,-0.0129449969419396,-0.00161760850900583,0.0226207402955108,0.0527725314437886,0.0735695324984488,0.072564241719734,0.0503074462060668,0.0188041165670172,-0.0103429489556042,-0.0290309273457183,-0.0346843711730015,-0.0283359760097176,-0.0157737482345886,-0.00959330101919201,-0.00831785138608741,-0.00224258706188918,0.0177901936681869,0.0422977309548381,0.053369905363881,0.0447282847367305,0.0238818464079785,-0.000725784147571533,-0.027794640174823,-0.0433423930556616,-0.0576312053805028,-0.0530646847705398,-0.0431342013745527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lonchura_atricapilla,1,NA,NA,NA,NA,NA,NA,-0.156265470427282,-0.133619741535387,-0.117944814876333,-0.154786561328967,-0.261979477481659,-0.395714164260176,-0.466722258598947,-0.407408051826094,-0.235932101528543,-0.0520488768651937,0.0406618660927006,0.0166555017149031,-0.0617316583024473,-0.110005308841963,-0.093535438616164,-0.0405046507360294,0.00171059401385792,0.0122545455297227,0.00348824850205398,-0.00348705029741897,-0.000995578900956418,0.00426188747623524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Todiramphus_cinnamominus,1,NA,NA,NA,NA,NA,NA,0.00498171392717828,-0.0148491148372571,-0.0621054631288576,-0.110525474333713,-0.110447043514785,-0.0602363109873505,-0.0385995526468279,-0.127463384701946,-0.306522252718372,-0.455466259750682,-0.468339752637752,-0.347158152597702,-0.180208153421624,-0.0529967143940366,0.00611046477914057,0.0152858446856357,0.00522754349022336,-0.00236245872565366,-0.00148130403243929,0.00174173021999269,0.000877051850610489,-0.0021768153626327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
