Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Ranoidea_nannotis,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Odorrana_swinhoana,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.221848749616356,0.318766154745091,-0.409263038769428,-0.879177829586532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Litoria_rothii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.037487800967285,0.0643165788274272,0.107717088662457,0.135353594535038,0.133783049029171,0.110390510516001,0.0788853600421074,0.0419023328820937,-0.119372244240662,-0.236236584435256,-0.304840484850533,-0.235071554966204,-0.00190166391781643,0.295336824694002,0.491637174153975
Litoria_nasuta,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0410817574957982,0.0660820470895145,0.0955949209431273,0.0919207475400077,0.0287081550156119,-0.0822565453228855,-0.190555094584522,-0.237571432469511,-0.197008314144238,-0.0932816946952868,0.017195672305615,0.0855847596872752,0.0992449977109615,0.0805419509849371,0.0621819718411742
Ranoidea_dahlii,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.482589688475576,-0.35351480142855,-0.0767912481883708,0.259620559355986,0.459508505554425,0.40412437286634,0.200413684981621,0.0469092869025863,-0.036917623339232,-0.220976565115516,-0.548708575135475,-0.734067079838628,-0.438783292714578,0.251021245742683,0.807789436580419
Litoria_bicolor,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183719705172012,0.1687381064309,0.125306879135335,0.0492169583972649,-0.0414851745649631,-0.116728254009871,-0.155135298588776,-0.151435152232593,-0.108078012479145,-0.0309044160557082,0.0622249574268144,0.138198130292153,0.168494024079096,0.156343727598787,0.135514156873092
Leiopelma_hamiltoni,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144137279054761,-0.0991349032270752,0.368953217229573,-0.404564847160751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ranoidea_aurea,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.52680903890877,0.0555173278498315,0.384688663038069,0.384688663038069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mixophyes_fleayi,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205665662072464,0.0792307655614035,0.245373816080319,0.211893384512584,-0.041057527904805,0.0877870453990991,0.00466710525932856,NA,NA,NA,NA,NA,NA
Eleutherodactylus_coqui,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.198674143164157,NA,-0.126527741058019,-0.046933972577026,NA,NA,NA,NA,NA,NA,NA,NA
