population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
25665,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0907003022789585,-0.069277232205857,-0.024837816474522,0.0301531021541004,0.073690320453722,0.091982444774332,0.0889115972773218,0.0764431302352901,0.0601980438731635,0.0392793997993039,0.0166224555293792,0.000983471605429775,-0.00339991644256443,-0.00331404488947196,-0.00877626894393968,-0.0213091064015489,-0.0327246862646102,-0.0335428686822858,-0.020574835389519,0.00101968190107149,0.0201417956654568,0.0270543615736996,0.0230128485698815,0.0211767042201079,0.0325244264610864,0.0511278764009395,0.0598045109555305,0.0520475631646249,0.0407633705420163
25497,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0638802424461373,-0.0394761699016541,0.00234216940616538,0.0447835143967228,0.0729503671645733,0.0824113114109088,0.0779443012693122,0.0669771351935076,0.0544498322726772,0.0421924527940905,0.0310473295131239,0.0224148227589307,0.017841883958126,0.017647961820989,0.0201744041606422,0.0225159905836037,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27191,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00109235426170154,-0.0165746868680204,-0.0454167315670349,-0.0740681939632918,-0.0965036416221608,-0.115047370736324,-0.134170604595823,-0.15404562578721,-0.170714570006974,-0.180917244767244,-0.184974492934001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11271,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0669467896306133,-0.477121254719662,0.0486344531489777,0.0486344531489777,0.0486344531489777,0.0486344531489775,0.048634453148978,0.0486344531489775,0.0486344531489777,0.0486344531489777,0.0486344531489777,0.0486344531489777,0.0486344531489777,0.0486344531489777,0.0486344531489777,0.0486344531489777,0.0486344531489776,0.0486344531489777,-1,-1,-1,-1,-1,-1,-1,-1,-1
27084,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.609746819994253,-0.609746819994253,0,0.0843208857000359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27003,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.248093920476183,0.0750081715602267,-0.102562515559068,0.378945076144481,0.100068532252886,-1,-1,-1,-1,-1,-1,-1,-1,-1
26958,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27693156569217,-1.01056087252745,0.535391506405305,-0.192968825583099,0.131344931889868,-1,-1,-1,-1,-1,-1,-1,-1,-1
27043,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.73339790936142,0.352368217212795,0.00369740426597522,-0.0675854219797013,-1,-1,-1,-1,-1,-1,-1,-1,-1
11260,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.818206762119849,0.491564682611936,-0.00210928644297875,-0.00210928644297875,-0.0021092864429787,-0.00210928644297881,-0.0021092864429787,-0.00210928644297864,-0.00210928644297881,-0.0021092864429787,-0.00210928644297875,-0.00210928644297875,-0.0021092864429787,-0.0021092864429787,-0.00210928644297881,-0.00210928644297875,-0.00210928644297864,-0.00210928644297881,-1,-1,-1,-1,-1,-1,-1,-1,-1
27073,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.237068153584343,0.237068153584344,0.237068153584343,-0.394934498532312,0.456680094477118,-1,-1,-1,-1,-1,-1,-1,-1,-1
27033,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0075531378904459,0.0469522514341656,0.0469522514341656,0.151267675330649,-0.0843208857000359,-1,-1,-1,-1,-1,-1,-1,-1,-1
