population_id,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
8151,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0187814615661828,-0.0187814615661828,-0.0187814615661832,-0.0187814615661828,-0.0187814615661828,-0.0187814615661832,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23460,1,-1,-1,-1,-1,-1,0.0731327027191422,0.0731327027191422,0.0731327027191424,0.0731327027191422,-0.272786752680812,0.00226432937854715,0.00226432937854737,0.00226432937854715,0.00226432937854715,0.00226432937854715,0.00226432937854737,0.00226432937854715,0.00226432937854715,-0.00982996962389127,0.0900385242094428,0.0916295331121917,0.0916295331121917,0.0916295331121919,-0.0210846554401583,-0.021084655440158,-0.021084655440158,-0.021084655440158,-0.021084655440158,-0.021084655440158,-0.0210846554401583,-0.021084655440158,-0.021084655440158,-0.021084655440158,0.00972358207418611,0.00972358207418633,0.00972358207418633,0.00972358207418611,0.00972358207418633,0.00972358207418611,0.00972358207418633,0.00972358207418633,0.00972358207418611,-1,-1
23456,1,-1,-1,-1,-1,-1,0.0186952345143303,0.0186952345143303,0.0186952345143303,0.0186952345143303,0.0186952345143303,0.0186952345143305,0.0186952345143303,0.0186952345143303,0.0186952345143303,0.0186952345143303,0.0186952345143303,0.0186952345143305,0.0186952345143303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455931955649724,0.0455931955649724,0.0455931955649724,0.0455931955649724,0.0455931955649724,0.0455931955649724,0.0455931955649724,0.0455931955649724,0.0455931955649724,0.0455931955649724,-1,-1
4545,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.22357901567111,-0.223579015671109,-0.273001272063738,0.397940008672038,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23458,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0191871154120773,0.0191871154120773,0.0191871154120771,0.0191871154120773,0.0191871154120773,0.0191871154120773,0.0191871154120773,0.0191871154120773,0.0191871154120773,0.0191871154120773,0.0191871154120773,0.0132088532926058,0.0132088532926058,0.013208853292606,0.0132088532926058,0.0132088532926058,0.0132088532926058,0.013208853292606,0.0132088532926058,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17829,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.0894920334642033,-0.165923003469034,-0.0911143288521063,-0.0911143288521064,0.134112613185355,0.0256995302148193,0.0256995302148192,0.0256995302148193,0.0256995302148193,0.0256995302148193,0.0256995302148192,0.0256995302148193,-0.3199048154279,0.109534945308458,0.109534945308458,-1,-1,-1,-1
27354,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.122532666842421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27353,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.164721644242563,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27352,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.361841342438565,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23417,1,-1,-1,-1,-1,-1,0.0115078319547829,0.0115078319547828,0.0115078319547828,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547829,0.0115078319547828,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547829,0.0115078319547828,0.0115078319547828,0.0115078319547829,0.0115078319547828,0.0115078319547829,0.0115078319547828,-0.00235436656332644,-0.00235436656332644,-0.00235436656332644,-0.00235436656332655,-0.00235436656332633,-0.00235436656332655,-0.00235436656332644,-0.00235436656332644,-0.00235436656332644,-1,-1
