"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Enteromius_afrohamiltoni","Enteromius_afrohamiltoni",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.650514997831991,1,1,NA,NA,NA,NA,NA,NA
"Enteromius_mattozi","Enteromius_mattozi",2,1,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enteromius_paludinosus","Enteromius_paludinosus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.370863314078211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enteromius_trimaculatus","Enteromius_trimaculatus",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.200251397815015,NA,-1,1,1,NA,NA,NA,NA,NA,NA
"Epiplatys_bifasciatus","Epiplatys_bifasciatus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232252830055126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epiplatys_spilargyreius","Epiplatys_spilargyreius",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258450115297553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galaxias_zebratus","Galaxias_zebratus",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122431556519236,0.00844988804150992,0.00844988804151015,0.00844988804150981,0.00844988804151026,0.00844988804151003,0.00844988804150992,0.00844988804151003,0.00844988804150992,0.00844988804151015,0.00844988804151015,NA,NA,NA,NA,NA,NA,NA
"Galeichthys_feliceps","Galeichthys_feliceps",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.481893913672778,0.481893913672778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossogobius_callidus","Glossogobius_callidus",14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-0.130869603827512,0.798650645445269,NA,0.446129974098702,-0.596556799356569,-0.579373615492461,0.247275366631749,-0.310816249649537,0.728693929834923,0.760145539802001,-0.619468046883951,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Glossogobius_giuris","Glossogobius_giuris",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.301029995663981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Heterobranchus_longifilis","Heterobranchus_longifilis",18,1,-0.150514997831991,-0.150514997831991,0.0554438072555083,0.352992619986446,0.0334733948153066,0,0.1249387366083,-0.903089986991944,-0.301029995663981,0.301029995663981,0.150514997831991,0.150514997831991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrocynus_forskahlii","Hydrocynus_forskahlii",18,1,NA,NA,NA,NA,NA,0.0536040552310054,0.450162489827327,-0.0174889875853825,0.158780200029782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hydrocynus_vittatus","Hydrocynus_vittatus",41,1,0.0784299725446413,0.0770669823537375,-0.171123208114797,0.123606107886539,0.0273794517708631,-0.0641129518719443,-0.0699748455663949,-0.0599926412557609,-0.0411639567462788,-0.0211830742373165,-0.00343833376395408,0.0114084246388313,0.0217187019704652,0.0250579134671516,0.0213424759076493,0.0135277521302095,0.00447943241710025,-0.0055602019118608,-0.0175607998021391,-0.0306392625909643,-0.0415359026503599,-0.0472420415132551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Labeo_altivelis","Labeo_altivelis",38,1,-0.0726052784879096,0.169597746856569,0.307115168374987,0.0821793745652692,0.449449441135298,0.0422544464470458,0.0299063228414876,0.106452497713844,0.113641748848257,-0.0155182116537558,-0.166482214460251,-0.154205002242263,0.0459250781509054,0.218845015296621,0.139875343542232,-0.119932733718824,-0.226531832147582,0.011157615038389,0.353563588923384,0.382412395174123,0.0260517797791625,-0.333703130206291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Labeo_congoro","Labeo_congoro",5,1,-0.114983438455412,-0.114983438455412,-0.114983438455413,-0.114983438455412,-0.114983438455412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Labeo_senegalensis","Labeo_senegalensis",4,1,NA,NA,NA,NA,NA,0.163774929798027,-0.608181230049834,-0.608181230049834,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Labeo_umbratus","Labeo_umbratus",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.18221103398024,-0.182211033980241,-0.18221103398024,-0.18221103398024,-0.182211033980241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Labeobarbus_beso","Labeobarbus_beso",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0238496104935292,-0.442975387630043,-0.0625750466720427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lates_niloticus","Lates_niloticus",5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.033310126722474,-0.0333101267224742,-0.033310126722474,-0.0333101267224741,-0.102512413771206,-0.0213320917756565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lates_stappersii","Lates_stappersii",40,1,-0.0885116135926212,-0.0344931962259845,0.0511446158390798,NA,NA,NA,NA,NA,NA,0.00666165390009235,-0.00774997000013136,0.0722934839227418,-0.14547707719336,0.125897353723018,-0.0761883736186228,-0.043542111464446,-0.0103933814279055,-0.00774996999918889,-0.00774996999907132,-0.00774996999899863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lichia_amia","Lichia_amia",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615224460689137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
